ALARMID	ALARMCODE	CATEGORY	DESCRIPTION	SEVERITY	ALARM_CAUSE	SEVERITY_DESC	SEVERITY_RATIO
48	8	데이터	Tray ID LOSS 	2	DataError	낮음 (모니터링 필요, 경미한 데이터 문제)	1.0%
50	9	프로세스	CIM Alarm	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
51	6	설비이상	[SC] 51.Travel First Movement Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
53	2	감지	[ERR053] [M5053] NO SCAN FROM FRONT SCANNER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
57	2	감지	[ERR057] [M5057] POSITION CONFIDENCE LOW	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
60	4	통신	[ERR060] [M5060] LOCALIZE NOT READY	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
61	4	통신	[ERR061] [M5061] DEADREC HIGH DT	2	설비기인	낮음 (모니터링 필요, 경미한 데이터 문제)	1.0%
62	4	통신	[ERR062] [M5062] POSCONT HIGH DT	2	설비기인	낮음 (모니터링 필요, 경미한 데이터 문제)	1.0%
90	2	감지	[SC] 90.Fork#1 Center Error When First Active	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
91	2	감지	[SC] 91.Fork#2 Center Error When First Active	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
101	2	감지	[ERR101] [M5101] VEH INTE HIGH DT	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
102	2	감지	[ERR102] [M5102] MOTOR CONTROL FAULT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
121	2	감지	[SC] 121.Fork#2 Load Position Error When Active	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
122	2	감지	[SC] 122.Load Oversize Error(Left)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
123	2	감지	[SC] 123.Load Oversize Error(Right)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
124	2	감지	[SC] 124.Load Collapse Error(Left)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
126	8	데이터	[SC] 126.Fork#1 Double Storage Error	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
128	8	데이터	[SC] 128.Fork#1 Empty Release Error(Rack)	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
131	8	데이터	[SC] 131.Fork#1 Empty Release Error(Worktable)	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
146	8	데이터	[SC] 146.Ready Off During Forking	2	DataError	낮음 (모니터링 필요, 경미한 데이터 문제)	1.0%
147	8	데이터	[SC] 147.Port Interface Error	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
148	2	감지	[SC] 148.Hoist Brake Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
149	6	설비이상	[SC] 149.Material Loosening(Left)	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
150	6	설비이상	[SC] 150.Material Loosening(Right)	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
151	2	감지	[ERR151] [M5151] POS CONT HEADING ERR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
152	2	감지	[ERR152] [M5152] POS CONT POS ERR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
153	2	감지	[ERR153] [M5153] VEH INTE NOT READY	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
160	9	프로세스	[SC] 160.Destination Operation Error#1	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
161	9	프로세스	[SC] 161.Destination Operation Error#2	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
163	6	설비이상	INV-01 RunTimeOver Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
164	6	설비이상	INV-02 RunTimeOver Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
168	6	설비이상	Undefined Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
169	9	프로세스	[SC] 169.MCP Auto/Manual Mode Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
180	6	설비이상	Data Miss Match Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
180	9	프로세스	Data Miss Match Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
181	6	설비이상	Tray Data & Sensor Mismatch Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
185	6	설비이상	[SC] 185.MCP Temp Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
187	2	감지	[SC] 187.Travel SSI Converter Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
190	6	설비이상	Port Interface  Error 1	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
196	6	설비이상	[SC] 196.MCP AP Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
200	9	프로세스	[SC] 200.MCP Mode Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
204	4	통신	[ERR204] [M5204] DESTINATION UPDATE FAILED	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
209	6	설비이상	[SC] 209.SCP Safety Relay Power Trip	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
230	6	설비이상	Undefined Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
233	2	감지	[SC] 233.Hoist RLS Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
235	1	안전	[SC] 235.Area Sensor Detected Error(Right)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
236	1	안전	[SC] 236.Light Curtain Detected Error(SCS)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
239	1	안전	[SC] 239.Door Open Error(HP)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
240	1	안전	[SC] 240.Door Open Error(OP)	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
240	6	설비이상	Port Interface  Error 1	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
245	1	안전	[SC] 245.MCP Safety Relay Off	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
257	65	안전장치	[R1191_0][INLET CV2][A]IN BCR READ FAIL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
258	65	안전장치	[R1191_1][INLET CV2][A]CELL BOX VALIDATION RETURN CODE NG	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
259	65	안전장치	[R1191_2][INLET CV2][A]IN BCR DATA & PALLET ID MISMATCH	5	DataError	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
262	2	감지	[ERR262] [M5262] SAFE OUTPUTS ACTIVE	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
290	6	설비이상	Undefined Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
305	65	안전장치	[R1194_0][INLET CV2][A]IN LIGHT CURTAIN DETECT ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
370	0	시스템	INV RunTimeOver Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
383	0	시스템	Stopper Up Cylinder Sensor Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
389	6	설비이상	Light Curtain-01 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
390	6	설비이상	Manual Port ID LOSS Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
391	6	설비이상	Manual Port Data Miss Match Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
397	6	설비이상	Tray ID LOSS 	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
400	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
401	1	안전	Emergency Error 1	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
401	6	설비이상	Emergency Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
402	1	안전	Emergency Error 2	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
402	6	설비이상	Safety Door Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
408	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
409	6	설비이상	SERVICE Power Trip Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
423	0	시스템	Pre-Align Cylinder Detect Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
423	6	설비이상	OP MAINT CALL ON Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
430	6	설비이상	Robot Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
431	6	설비이상	Gripper #1 Clamping Moving Time Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
437	6	설비이상	Robot Movement Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
465	6	설비이상	Gripper #2 Unclamping Moving Time Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
466	6	설비이상	Shutter All Open I/L Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
474	6	설비이상	MG Full Detect Sensor Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
475	6	설비이상	MG1 Detect Senser Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
476	6	설비이상	MG2 Detect Senser Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
501	1	안전	[ERR002] [M6002] EMO2 FRONT	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
501	6	설비이상	INV-01 (CV) Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
501	65	안전장치	Vehicle No Response	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
502	6	설비이상	INV-01 (CV) Run Time Over Alarm 	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
502	65	안전장치	Vehicle No Command	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
505	1	안전	[ERR006] [M6006] EMO6 REAR	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
507	6	설비이상	INV-03 (DV) Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
523	2	감지	[ERR024] [M6024] BRAKE RELEASE	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
524	6	설비이상	[ERR025] [M6025] CAN STATUS ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
528	2	감지	[ERR029] [M6029] TIM READY ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
529	6	설비이상	[ERR030] [M6030] NAVITEC COMM TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
531	6	설비이상	[ERR032] [M6032] BAT#1 COMM TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
532	6	설비이상	[ERR033] [M6033] BAT#2 COMM TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
535	6	설비이상	Pallet Over Size Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
536	6	설비이상	[ERR037] [M6037] ACS STOP	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
540	2	감지	[ERR041] [M6041] POWER OFF	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
541	6	설비이상	PIO Complete ON Timer Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
543	6	설비이상	[ERR044] [M6044] ODSL#1 VALUE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
544	6	설비이상	[ERR045] [M6045] ODSL#2 VALUE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
547	6	설비이상	[ERR048] [M6048] T ALIGN ZONE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
548	6	설비이상	[ERR049] [M6049] X ALIGN ZONE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
549	1	안전	Light Curtain Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
549	6	설비이상	Light Curtain Alarm	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
550	6	설비이상	[RTV] Panel EMG	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
556	2	감지	[ERR057] [M6057] ACS EMERGENC Y	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
557	6	설비이상	[ERR058] [M6058] NODE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
558	6	설비이상	[RTV] Laser Sensor Fault	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
559	6	설비이상	[ERR060] [M6060] AUTO SELECT ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
560	2	감지	[ERR061] [M6061] FRONT DOOR OPEN	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
561	2	감지	[ERR062] [M6062] REAR DOOR OPEN	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
562	6	설비이상	[RTV] Safety Power CP06 Trip	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
563	6	설비이상	[ERR064] [M6064] AUTO STEP TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
564	6	설비이상	[ERR065] [M6065] LD/UD STEP TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
565	6	설비이상	[ERR066] [M6066] GO STEP TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
566	6	설비이상	[RTV] StoreAlt Time Over	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
568	6	설비이상	[ERR069] [M6069] LD/UD READY TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
569	6	설비이상	[ERR070] [M6070] CARGO STATUS ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
571	6	설비이상	[RTV] TR01 Inverter Alarm	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
572	2	감지	[ERR073] [M6073] FORK BUMPER#1	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
573	2	감지	[ERR074] [M6074] FORK BUMPER#2	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
574	6	설비이상	[RTV] CV01 Inverter Alarm	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
575	2	감지	[ERR076] [M6076] LIGHT CURTAIN1 DETECT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
576	2	감지	[ERR077] [M6077] LIGHT CURTAIN2 DETECT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
577	2	감지	[ERR078] [M6078] FORK1 OUT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
577	6	설비이상	[RTV] SH01 Inverter Alarm	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
579	2	감지	[ERR080] [M6080] FRONT BUMPER DETECT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
580	2	감지	[ERR081] [M6081] REAR BUMPER DETECT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
586	2	감지	[ERR087] [M6087] REAR SCANNER ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
587	6	설비이상	[RTV] RTV CV Tray Postion Abnormal 	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
590	6	설비이상	[RTV] TR01 FWD Overrun 	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
591	6	설비이상	[ERR092] [M6092] READY OFF	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
594	6	설비이상	[RTV] RTV LIFTER LOAD LOAD 	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
596	6	설비이상	[ERR097] [M6097] CHARGE BUSY TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
597	6	설비이상	[ERR098] [M6098] CHARGING TIMEOUT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
598	6	설비이상	[ERR099] [M6099] CHARGING DISCONNECTED	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
603	6	설비이상	[ERR104] [M6104] SHOWER CRASH ROUTE	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
608	2	감지	[ERR109] [M6109] STACKING INTERLOCK	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
613	6	설비이상	[ERR114] [M6114] FORK1 DOUBLE COUNT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
614	6	설비이상	[ERR115] [M6115] FORK2 DOUBLE COUNT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
615	6	설비이상	[ERR116] [M6116] FORK1 LD/UD REQ NOT RECEIVED	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
616	6	설비이상	[ERR117] [M6117] FORK2 LD/UD REQ NOT RECEIVED	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
623	2	감지	[ERR124] [M6124] POSITION INITIAL LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
705	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
728	6	설비이상	Light Curtain-01 Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
737	65	안전장치	[R1791_0][OUTLET CV2][A]OUT BCR READ FAIL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
739	65	안전장치	[R1791_2][OUTLET CV2][A]OUT BCR DATA & PALLET ID MISMATCH	5	DataError	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
740	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
741	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
742	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
747	6	설비이상	Tray Data Mismatch Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
747	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
748	6	설비이상	Tray ID LOSS 	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
748	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
785	65	안전장치	[R1794_0][OUTLET CV2][A]OUT LIGHT CURTAIN DETECT ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
806	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
807	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
811	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
814	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
841	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1001	6	설비이상	GROUP#1 Safety Relay Ready OFF Status	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1009	6	설비이상	GROUP#1 EMO#9 Pushed Status	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1029	6	설비이상	[ERR530] [M6530] Z-AXIS OVER CURRENT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1030	6	설비이상	[ERR531] [M6531] Z-AXIS OVER VOLTAGE	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1031	6	설비이상	[ERR532] [M6532] Z-AXIS UNDER VOLTAGE	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1032	1	안전	DOOR 01 OPEN STATUS	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1033	1	안전	DOOR 02 OPEN STATUS	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1034	0	시스템	MCP SMC#1 DISCONNECTED ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1035	6	설비이상	[ERR536] [M6536] Z-AXIS SERIAL ENCODER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1038	0	시스템	MCP FRONT DOOR OPEN	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1039	0	시스템	MCP REAR DOOR OPEN	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1039	6	설비이상	[ERR540] [M6540] Z-AXIS FOLLOWIN G	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1041	6	설비이상	[ERR542] [M6542] Z-AXIS OVERLOAD	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1042	1	안전	DOOR SLIDE 01 UNLOCK STATUS	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1045	6	설비이상	"[ERR546] [M6546] Z1-AXIS HW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1049	6	설비이상	[ERR550] [M6550] Z1-AXIS SERVO STEP DT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1052	0	시스템	MCP GF OP1 LIGHT CURTAIN DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1060	0	시스템	MCP 2F OP1 LIGHT CURTAIN DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1060	6	설비이상	SUB PANEL#1 FAN 02 Abnormal Status	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1061	0	시스템	MCP 2F OP2 LIGHT CURTAIN DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1063	6	설비이상	SUB PANEL#2 CP 02 Tripped Status	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
